,Label,Section Name,Section Number,Question Number,Column,Type of Variable,SAS Variable Name,Question Prologue,Valid Values,Question,Core Section Number,Module Number
_STATE,State FIPS Code,Record Identification,0,1,1-2,Num,_STATE,Question:  State FIPS Code,"{'1': {'Value Label': 'Alabama', 'Frequency': '4,506', 'Percentage': '1.01', 'Weighted Percentage': '1.50'}, '2': {'Value Label': 'Alaska', 'Frequency': '5,865', 'Percentage': '1.32', 'Weighted Percentage': '0.21'}, '4': {'Value Label': 'Arizona', 'Frequency': '10,185', 'Percentage': '2.29', 'Weighted Percentage': '2.18'}, '5': {'Value Label': 'Arkansas', 'Frequency': '5,309', 'Percentage': '1.19', 'Weighted Percentage': '0.89'}, '6': {'Value Label': 'California', 'Frequency': '10,952', 'Percentage': '2.46', 'Weighted Percentage': '11.63'}, '8': {'Value Label': 'Colorado', 'Frequency': '9,365', 'Percentage': '2.10', 'Weighted Percentage': '1.76'}, '9': {'Value Label': 'Connecticut', 'Frequency': '9,784', 'Percentage': '2.20', 'Weighted Percentage': '1.09'}, '10': {'Value Label': 'Delaware', 'Frequency': '3,987', 'Percentage': '0.90', 'Weighted Percentage': '0.30'}, '11': {'Value Label': 'District of Columbia', 'Frequency': '3,237', 'Percentage': '0.73', 'Weighted Percentage': '0.21'}, '12': {'Value Label': 'Florida', 'Frequency': '13,393', 'Percentage': '3.01', 'Weighted Percentage': '6.74'}, '13': {'Value Label': 'Georgia', 'Frequency': '9,236', 'Percentage': '2.07', 'Weighted Percentage': '3.19'}, '15': {'Value Label': 'Hawaii', 'Frequency': '7,747', 'Percentage': '1.74', 'Weighted Percentage': '0.43'}, '16': {'Value Label': 'Idaho', 'Frequency': '6,280', 'Percentage': '1.41', 'Weighted Percentage': '0.56'}, '17': {'Value Label': 'Illinois', 'Frequency': '4,056', 'Percentage': '0.91', 'Weighted Percentage': '3.74'}, '18': {'Value Label': 'Indiana', 'Frequency': '10,466', 'Percentage': '2.35', 'Weighted Percentage': '1.99'}, '19': {'Value Label': 'Iowa', 'Frequency': '8,949', 'Percentage': '2.01', 'Weighted Percentage': '0.94'}, '20': {'Value Label': 'Kansas', 'Frequency': '11,247', 'Percentage': '2.53', 'Weighted Percentage': '0.85'}, '21': {'Value Label': 'Kentucky', 'Frequency': '4,023', 'Percentage': '0.90', 'Weighted Percentage': '1.33'}, '22': {'Value Label': 'Louisiana', 'Frequency': '5,629', 'Percentage': '1.26', 'Weighted Percentage': '1.35'}, '23': {'Value Label': 'Maine', 'Frequency': '10,646', 'Percentage': '2.39', 'Weighted Percentage': '0.43'}, '24': {'Value Label': 'Maryland', 'Frequency': '16,418', 'Percentage': '3.69', 'Weighted Percentage': '1.83'}, '25': {'Value Label': 'Massachusetts', 'Frequency': '11,029', 'Percentage': '2.48', 'Weighted Percentage': '2.14'}, '26': {'Value Label': 'Michigan', 'Frequency': '10,058', 'Percentage': '2.26', 'Weighted Percentage': '3.00'}, '27': {'Value Label': 'Minnesota', 'Frequency': '16,821', 'Percentage': '3.78', 'Weighted Percentage': '1.68'}, '28': {'Value Label': 'Mississippi', 'Frequency': '4,239', 'Percentage': '0.95', 'Weighted Percentage': '0.86'}, '29': {'Value Label': 'Missouri', 'Frequency': '7,438', 'Percentage': '1.67', 'Weighted Percentage': '1.82'}, '30': {'Value Label': 'Montana', 'Frequency': '7,048', 'Percentage': '1.58', 'Weighted Percentage': '0.33'}, '31': {'Value Label': 'Nebraska', 'Frequency': '7,473', 'Percentage': '1.68', 'Weighted Percentage': '0.57'}, '32': {'Value Label': 'Nevada', 'Frequency': '3,188', 'Percentage': '0.72', 'Weighted Percentage': '0.94'}, '33': {'Value Label': 'New Hampshire', 'Frequency': '6,757', 'Percentage': '1.52', 'Weighted Percentage': '0.43'}, '34': {'Value Label': 'New Jersey', 'Frequency': '8,209', 'Percentage': '1.84', 'Weighted Percentage': '2.77'}, '35': {'Value Label': 'New Mexico', 'Frequency': '4,758', 'Percentage': '1.07', 'Weighted Percentage': '0.62'}, '36': {'Value Label': 'New York', 'Frequency': '17,800', 'Percentage': '4.00', 'Weighted Percentage': '5.97'}, '37': {'Value Label': 'North Carolina', 'Frequency': '4,505', 'Percentage': '1.01', 'Weighted Percentage': '3.17'}, '38': {'Value Label': 'North Dakota', 'Frequency': '4,153', 'Percentage': '0.93', 'Weighted Percentage': '0.23'}, '39': {'Value Label': 'Ohio', 'Frequency': '16,487', 'Percentage': '3.70', 'Weighted Percentage': '3.49'}, '40': {'Value Label': 'Oklahoma', 'Frequency': '5,775', 'Percentage': '1.30', 'Weighted Percentage': '1.16'}, '41': {'Value Label': 'Oregon', 'Frequency': '5,756', 'Percentage': '1.29', 'Weighted Percentage': '1.30'}, '42': {'Value Label': 'Pennsylvania', 'Frequency': '4,582', 'Percentage': '1.03', 'Weighted Percentage': '3.91'}, '44': {'Value Label': 'Rhode Island', 'Frequency': '5,893', 'Percentage': '1.32', 'Weighted Percentage': '0.34'}, '45': {'Value Label': 'South Carolina', 'Frequency': '10,037', 'Percentage': '2.25', 'Weighted Percentage': '1.57'}, '46': {'Value Label': 'South Dakota', 'Frequency': '7,424', 'Percentage': '1.67', 'Weighted Percentage': '0.26'}, '47': {'Value Label': 'Tennessee', 'Frequency': '5,266', 'Percentage': '1.18', 'Weighted Percentage': '2.08'}, '48': {'Value Label': 'Texas', 'Frequency': '14,245', 'Percentage': '3.20', 'Weighted Percentage': '8.52'}, '49': {'Value Label': 'Utah', 'Frequency': '9,826', 'Percentage': '2.21', 'Weighted Percentage': '0.93'}, '50': {'Value Label': 'Vermont', 'Frequency': '8,811', 'Percentage': '1.98', 'Weighted Percentage': '0.20'}, '51': {'Value Label': 'Virginia', 'Frequency': '10,417', 'Percentage': '2.34', 'Weighted Percentage': '2.58'}, '53': {'Value Label': 'Washington', 'Frequency': '26,152', 'Percentage': '5.88', 'Weighted Percentage': '2.33'}, '54': {'Value Label': 'West Virginia', 'Frequency': '4,981', 'Percentage': '1.12', 'Weighted Percentage': '0.54'}, '55': {'Value Label': 'Wisconsin', 'Frequency': '11,276', 'Percentage': '2.53', 'Weighted Percentage': '1.76'}, '56': {'Value Label': 'Wyoming', 'Frequency': '4,142', 'Percentage': '0.93', 'Weighted Percentage': '0.17'}, '66': {'Value Label': 'Guam', 'Frequency': '2,266', 'Percentage': '0.51', 'Weighted Percentage': '0.04'}, '72': {'Value Label': 'Puerto Rico', 'Frequency': '5,509', 'Percentage': '1.24', 'Weighted Percentage': '1.11'}, '78': {'Value Label': 'Virgin Islands', 'Frequency': '1,531', 'Percentage': '0.34', 'Weighted Percentage': '0.03'}}",,,
FMONTH,File Month,Record Identification,0,8,17-18,Num,FMONTH,Question:  File Month,"{'1': {'Value Label': 'January', 'Frequency': '36,070', 'Percentage': '8.10', 'Weighted Percentage': '8.27'}, '2': {'Value Label': 'February', 'Frequency': '31,885', 'Percentage': '7.16', 'Weighted Percentage': '7.38'}, '3': {'Value Label': 'March', 'Frequency': '35,222', 'Percentage': '7.91', 'Weighted Percentage': '7.62'}, '4': {'Value Label': 'April', 'Frequency': '32,865', 'Percentage': '7.38', 'Weighted Percentage': '6.60'}, '5': {'Value Label': 'May', 'Frequency': '32,484', 'Percentage': '7.30', 'Weighted Percentage': '6.97'}, '6': {'Value Label': 'June', 'Frequency': '36,176', 'Percentage': '8.13', 'Weighted Percentage': '8.35'}, '7': {'Value Label': 'July', 'Frequency': '36,808', 'Percentage': '8.27', 'Weighted Percentage': '8.22'}, '8': {'Value Label': 'August', 'Frequency': '40,098', 'Percentage': '9.01', 'Weighted Percentage': '10.25'}, '9': {'Value Label': 'September', 'Frequency': '39,566', 'Percentage': '8.89', 'Weighted Percentage': '8.57'}, '10': {'Value Label': 'October', 'Frequency': '39,133', 'Percentage': '8.79', 'Weighted Percentage': '8.32'}, '11': {'Value Label': 'November', 'Frequency': '47,701', 'Percentage': '10.72', 'Weighted Percentage': '10.65'}, '12': {'Value Label': 'December', 'Frequency': '37,124', 'Percentage': '8.34', 'Weighted Percentage': '8.78'}}",,,
IDATE,Interview Date,Record Identification,0,9,19-26,Char,IDATE,Question:  Interview Date,"{'HIDDEN': {'Value Label': 'Data not displayed\nNotes: Due to the nature of the data or the size of the table for display, this information is not printed for this report', 'Frequency': '445,132', 'Percentage': '100.00', 'Weighted Percentage': '100.00'}}",,,
IMONTH,Interview Month,Record Identification,0,10,19-20,Char,IMONTH,Question:  Interview Month,"{'1': {'Value Label': 'January', 'Frequency': '36,624', 'Percentage': '8.23', 'Weighted Percentage': '8.92'}, '2': {'Value Label': 'February', 'Frequency': '35,284', 'Percentage': '7.93', 'Weighted Percentage': '7.15'}, '3': {'Value Label': 'March', 'Frequency': '35,706', 'Percentage': '8.02', 'Weighted Percentage': '7.57'}, '4': {'Value Label': 'April', 'Frequency': '32,837', 'Percentage': '7.38', 'Weighted Percentage': '6.38'}, '5': {'Value Label': 'May', 'Frequency': '38,238', 'Percentage': '8.59', 'Weighted Percentage': '8.40'}, '6': {'Value Label': 'June', 'Frequency': '36,649', 'Percentage': '8.23', 'Weighted Percentage': '8.09'}, '7': {'Value Label': 'July', 'Frequency': '34,097', 'Percentage': '7.66', 'Weighted Percentage': '8.28'}, '8': {'Value Label': 'August', 'Frequency': '41,040', 'Percentage': '9.22', 'Weighted Percentage': '10.19'}, '9': {'Value Label': 'September', 'Frequency': '35,969', 'Percentage': '8.08', 'Weighted Percentage': '8.85'}, '10': {'Value Label': 'October', 'Frequency': '36,873', 'Percentage': '8.28', 'Weighted Percentage': '7.94'}, '11': {'Value Label': 'November', 'Frequency': '37,623', 'Percentage': '8.45', 'Weighted Percentage': '8.10'}, '12': {'Value Label': 'December', 'Frequency': '44,192', 'Percentage': '9.93', 'Weighted Percentage': '10.13'}}",,,
IDAY,Interview Day,Record Identification,0,11,21-22,Char,IDAY,Question:  Interview Day,"{'0': {'Value Label': '', 'Frequency': '6', 'Percentage': '0.00', 'Weighted Percentage': '0.00'}, '1': {'Value Label': 'Interview Day', 'Frequency': '13,132', 'Percentage': '2.95', 'Weighted Percentage': '2.93'}, '2': {'Value Label': '', 'Frequency': '14,282', 'Percentage': '3.21', 'Weighted Percentage': '3.18'}, '3': {'Value Label': '', 'Frequency': '14,122', 'Percentage': '3.17', 'Weighted Percentage': '3.06'}, '4': {'Value Label': '', 'Frequency': '13,750', 'Percentage': '3.09', 'Weighted Percentage': '3.13'}, '5': {'Value Label': '', 'Frequency': '14,962', 'Percentage': '3.36', 'Weighted Percentage': '3.36'}, '6': {'Value Label': '', 'Frequency': '14,500', 'Percentage': '3.26', 'Weighted Percentage': '3.36'}, '7': {'Value Label': '', 'Frequency': '15,271', 'Percentage': '3.43', 'Weighted Percentage': '3.47'}, '8': {'Value Label': '', 'Frequency': '15,121', 'Percentage': '3.40', 'Weighted Percentage': '3.47'}, '9': {'Value Label': '', 'Frequency': '16,666', 'Percentage': '3.74', 'Weighted Percentage': '3.80'}, '10': {'Value Label': '', 'Frequency': '15,720', 'Percentage': '3.53', 'Weighted Percentage': '3.52'}, '11': {'Value Label': '', 'Frequency': '15,205', 'Percentage': '3.42', 'Weighted Percentage': '3.37'}, '12': {'Value Label': '', 'Frequency': '15,732', 'Percentage': '3.53', 'Weighted Percentage': '3.45'}, '13': {'Value Label': '', 'Frequency': '15,235', 'Percentage': '3.42', 'Weighted Percentage': '3.33'}, '14': {'Value Label': '', 'Frequency': '15,592', 'Percentage': '3.50', 'Weighted Percentage': '3.58'}, '15': {'Value Label': '', 'Frequency': '15,631', 'Percentage': '3.51', 'Weighted Percentage': '3.63'}, '16': {'Value Label': '', 'Frequency': '15,847', 'Percentage': '3.56', 'Weighted Percentage': '3.54'}, '17': {'Value Label': '', 'Frequency': '14,144', 'Percentage': '3.18', 'Weighted Percentage': '3.12'}, '18': {'Value Label': '', 'Frequency': '15,123', 'Percentage': '3.40', 'Weighted Percentage': '3.48'}, '19': {'Value Label': '', 'Frequency': '15,278', 'Percentage': '3.43', 'Weighted Percentage': '3.34'}, '20': {'Value Label': '', 'Frequency': '15,302', 'Percentage': '3.44', 'Weighted Percentage': '3.23'}, '21': {'Value Label': '', 'Frequency': '16,063', 'Percentage': '3.61', 'Weighted Percentage': '3.52'}, '22': {'Value Label': '', 'Frequency': '15,694', 'Percentage': '3.53', 'Weighted Percentage': '3.50'}, '23': {'Value Label': '', 'Frequency': '14,699', 'Percentage': '3.30', 'Weighted Percentage': '3.22'}, '24': {'Value Label': '', 'Frequency': '12,327', 'Percentage': '2.77', 'Weighted Percentage': '2.92'}, '25': {'Value Label': '', 'Frequency': '12,717', 'Percentage': '2.86', 'Weighted Percentage': '2.81'}, '26': {'Value Label': '', 'Frequency': '14,117', 'Percentage': '3.17', 'Weighted Percentage': '3.22'}, '27': {'Value Label': '', 'Frequency': '13,748', 'Percentage': '3.09', 'Weighted Percentage': '3.16'}, '28': {'Value Label': '', 'Frequency': '14,575', 'Percentage': '3.27', 'Weighted Percentage': '3.35'}, '29': {'Value Label': '', 'Frequency': '12,938', 'Percentage': '2.91', 'Weighted Percentage': '2.92'}, '30': {'Value Label': '', 'Frequency': '11,109', 'Percentage': '2.50', 'Weighted Percentage': '2.52'}, '31': {'Value Label': '', 'Frequency': '6,524', 'Percentage': '1.47', 'Weighted Percentage': '1.51'}}",,,
IYEAR,Interview Year,Record Identification,0,12,23-26,Char,IYEAR,Question:  Interview Year,"{'2022': {'Value Label': '', 'Frequency': '419,473', 'Percentage': '94.24', 'Weighted Percentage': '93.18'}, '2023': {'Value Label': '', 'Frequency': '25,659', 'Percentage': '5.76', 'Weighted Percentage': '6.82'}}",,,
DISPCODE,Final Disposition,Record Identification,0,14,32-35,Num,DISPCODE,Question:  Final Disposition,"{'1100': {'Value Label': 'Completed Interview', 'Frequency': '353,271', 'Percentage': '79.36', 'Weighted Percentage': '72.20'}, '1200': {'Value Label': 'Partial Complete Interview', 'Frequency': '91,861', 'Percentage': '20.64', 'Weighted Percentage': '27.80'}}",,,
SEQNO,Annual Sequence Number,Record Identification,0,15,36-45,Char,SEQNO,Question:  Annual Sequence Number,"{'HIDDEN': {'Value Label': 'Data not displayed', 'Frequency': '445,132', 'Percentage': '100.00', 'Weighted Percentage': '100.00'}}",,,
_PSU,Primary Sampling Unit,Record Identification,0,16,36-45,Num,_PSU,Question:  Primary Sampling Unit (Equal to Annual Sequence Number),"{'HIDDEN': {'Value Label': 'Data not displayed\nNotes: Value should be unique for a state for a year. Due to the nature of the data or the size of the table for display, this information is not printed for this report', 'Frequency': '445,132', 'Percentage': '100.00', 'Weighted Percentage': '100.00'}}",,,
CTELENM1,Correct telephone number?,Land Line Introduction,0,1,63,Num,CTELENM1,Variable only on the land line survey,"{'1': {'Value Label': 'Yes\x97Go to LL.02, PVTRESD1', 'Frequency': '96,049', 'Percentage': '100.00', 'Weighted Percentage': '100.00'}, '2': {'Value Label': 'No\x97Terminate Phone Call', 'Frequency': '2', 'Percentage': '0.00', 'Weighted Percentage': '0.00'}, 'BLANK': {'Value Label': 'Missing\nNotes: QSTVER > = 20', 'Frequency': '349,081', 'Percentage': '.', 'Weighted Percentage': '.'}}",Is this     (phone number)     ?,,
